fname,sentence,I-ORG
pr11650_88,84,Ham
pr11651_92,35,Psykologisk
pr11653_92,40,Ham
pr11657_92,38,"Pauls, Cathedral"
pr11658_92,0,Påske
pr11658_92,55,"Pauls, Cathedral"
pr11659_92,39,romerske
pr11660_92,36,Det
pr11660_92,36,Testamente
pr11664_92,21,superb
pr11665_92,38,"Danmarks, riges"
pr11665_92,74,Jyske
pr11665_92,74,Skånske
pr11671_92,19,katolske
pr11671_92,33,"Berlingske, tidende"
pr11677_92,8,”
pr11691_92,39,Hesselager
pr11696_92,24,"Nordkorea, Kim, il"
pr11696_92,26,Tysklands
pr11698_92,25,evangelisk
pr11698_92,25,lutherske
pr11700_92,19,Påske
pr11702_92,2,fagforeningen
pr11704_92,7,Påske
pr11705_92,40,PH
pr11708_92,34,Påske
pr11714_92,6,Tivoli
pr11714_92,6,Dyrehavsbakken
pr11714_92,16,lego
pr11714_92,16,Folkekirken
pr11714_92,17,Folkekirken
pr11714_92,47,Folkekirken
pr11715_92,17,"–, Ham"
pr11723_92,12,Ham
pr11737_92,34,.
pr11738_92,85,Omega
pr11742_92,8,Påske
pr11749_92,3,Folkekirken
pr11751_92,41,nintendo
pr11758_92,31,Testamente
pr11764_92,11,MIT
pr11764_92,32,Ham
pr11770_92,30,romerske
pr11773_92,0,"Røde, Kors"
pr11775_92,13,"luthersk, evangeliske"
pr11776_92,9,Facebook
pr11782_92,29,Michelin
pr11790_92,3,Påske
pr11793_92,0,Hesselager
pr11796_94,11,EU
pr11801_95,12,Islamisk
pr11802_95,20,Lotto
pr11802_95,21,Lotto
pr11803_95,1,Kirken
pr11803_95,82,Sankt
pr11809_95,3,demokratis
pr11815_95,103,Speed
pr11815_95,104,Speed
pr11819_95,5,Testamente
pr11820_95,11,Grækenlands
pr11820_95,11,Spaniens
pr11824_95,35,FIFA
pr11824_95,36,FIFA
pr11825_95,27,Taleban
pr11826_95,84,Black
pr11828_95,86,Facebook
pr11828_95,103,Facebook
pr11831_95,43,Islamisk
pr11831_95,44,Islamisk
pr11831_95,47,Islamisk
pr11831_95,51,Islamisk
pr11831_95,53,Islamisk
pr11831_95,73,"Jyllands, -, Posten"
pr11832_95,0,"Det, Kongelige, Bibliotek"
pr11833_95,0,Museum
pr11833_95,0,"Boston, USA"
pr11835_95,35,"Sixtinske, Kapel"
pr11837_95,74,Tivoli
pr11840_95,38,Råd
pr11841_95,5,Testamente
pr11842_95,66,Romerne
pr11842_95,90,Aftenshowet
pr11843_95,75,lotto
pr11845_95,110,Kristi
pr11850_95,68,Lego
pr11851_95,34,"Det, Gamle, Testamente"
pr11851_95,35,Testamente
pr11854_95,16,"hvid, Mercedes, Benz"
pr11854_95,88,Taleban
pr11857_95,117,fif
pr11860_95,79,"Danmarks, Radio"
pr11873_95,26,"kommunistiske, parti"
pr11874_95,0,Google
pr11881_95,12,FN
pr11881_95,12,Amnesty
pr11882_95,2,Kapel
pr11882_95,3,Colosseum
pr11882_95,6,"Sixtinske, Kapel"
pr11886_95,6,Islamisk
pr11886_95,6,Taleban
pr11886_95,7,Islamisk
pr11887_95,12,Det
pr11887_95,12,Testamente
pr11891_95,31,TV
pr11891_95,101,Lotto
pr11892_95,21,Scientology
pr11894_95,45,romerske
pr11895_95,2,"Gamle, Testamente"
pr11895_95,3,Det
pr11895_95,3,Testamente
pr11895_95,21,Testamente
pr11896_95,23,Cayman
pr11896_95,23,"Olympiske, Lege"
pr11898_95,13,folketinget
pr11898_95,43,WikiLeaks
pr11900_95,54,"Olympiske, Lege"
pr11900_95,55,"Olympiske, Lege"
pr11900_95,56,Bethesda
pr11900_95,57,"De, Olympiske, Lege"
pr11900_95,62,Olympiske
pr11900_95,62,Bethesdas
pr11900_95,63,"Olympiske, Lege"
pr11900_95,64,Olympiske
pr11900_95,65,Olympiske
pr11900_95,82,Bethesdas
pr11900_95,105,Bethesdas
pr11900_95,106,Bethesdas
pr11900_95,107,Bethesdas
pr11901_95,51,barnsben
pr11905_95,24,EU
pr11906_95,62,"Amager, Banken"
pr11906_95,62,"Tønder, Bank"
pr11906_95,93,"Tønder, Bank"
pr11907_95,0,"Dalai, Lama"
pr11908_95,9,Islamisk
pr11908_95,10,Islamisk
pr11908_95,109,Ham
pr11908_95,111,Ham
pr11910_95,58,Facebook
pr11910_95,101,Facebook
pr11912_95,6,"Dansk, Folkeparti"
pr11912_95,49,Facebook
pr11912_95,50,Facebook
pr11912_95,68,Trump
pr11913_95,15,regiment
pr11914_95,16,regiment
pr11915_95,26,"Det, Gamle, Testamente"
pr11917_95,23,romerske
pr11918_95,89,Hilton
pr11920_95,112,"Det, Røde"
pr11921_95,4,Sl
pr11921_95,13,Jedi
pr11921_95,70,Facebook
pr11922_95,43,Dronningens
pr11923_95,10,Det
pr11923_95,10,Testamente
pr11924_95,46,EU
pr11924_95,141,Røde
pr11928_95,0,"Olympiske, Lege"
pr11929_95,10,.
pr11932_95,31,Islamisk
pr11936_95,13,"Franske, Revolution"
pr11936_95,62,"Dansk, Folkeparti"
pr11936_95,62,EU
pr11936_95,62,EU
pr11936_95,96,Guddommelige
pr11938_95,49,katolske
pr11941_95,53,"Danmarks, Radio"
pr11942_95,33,Lotto
pr11948_95,104,Scientology
pr11949_95,75,Københavns
pr11951_95,42,hvedekorn
pr11954_95,85,Testamente
pr100_1,67,forladelse
pr100_1,68,forladelse
pr104_1,28,Bilka
pr104_1,53,Bilka
pr104_1,54,Bilka
pr107_1,11,barnsben
pr107_1,57,barnsben
pr108_1,52,katolske
pr110_1,46,forladelse
pr111_1,30,DR1
pr111_1,49,Lego
pr115_1,36,Folkekirken
pr116_1,7,Rigshospitalet
pr122_1,5,"sydafrikanske, apartheid"
pr122_1,10,DT
pr122_1,21,Kape
pr125_1,3,Hamlets
pr126_1,5,"franske, landshold"
pr129_1,13,brugsen
pr129_1,14,Mazda
pr129_1,60,Ham
pr131_1,4,EU
pr132_1,7,katolske
pr132_1,28,katolske
pr133_1,0,Kiwi
pr133_1,48,Kiwi
pr134_1,27,Testamente
pr135_1,22,Testamente
pr139_1,6,"Røde, Kors"
pr144_1,33,folketinget
pr147_1,0,Vaya
pr147_1,1,Vaya
pr147_1,3,Vaya
pr147_1,29,Vaya
pr147_1,85,Vaya
pr151_1,42,Passat
pr153_1,13,Ham
pr156_1,20,Kingos
pr160_1,0,HC
pr167_1,5,Rugby
pr174_1,2,knights
pr174_1,4,"Holger, Danske"
pr174_1,23,Private
pr175_1,12,lutherske
pr175_1,24,GT
pr175_1,50,SK
pr196_2,7,Testamente
pr1_1,29,DR1
pr1_1,48,Lego
pr200_2,0,Købehavn
pr205_2,2,Dag
pr206_2,0,Dag
pr210_2,50,Emmaus
pr213_2,43,evangelist
pr217_2,50,Ham
pr218_2,8,Ham
pr224_2,32,Cola
pr22_1,69,romerske
pr236_2,21,"danske, landshold"
pr247_2,33,Ham
pr248_2,34,Ham
pr255_2,60,"”, Springer"
pr258_2,24,Det
pr258_2,26,"Det, Gamle, Testamente"
pr264_2,1,evangelist
pr270_2,60,"Gamle, Testamente"
pr271_2,8,"Bornholms, Hospital"
pr271_2,15,Volkswagen
pr272_2,26,Ham
pr277_2,0,Beder
pr281_2,15,Testamente
pr288_2,26,Kingos
pr292_2,8,Råd
pr292_2,13,"Gamle, Testamente"
pr301_2,30,fif
pr313_2,19,brugsen
pr314_2,13,fif
pr315_2,0,Det
pr315_2,0,Testamente
pr315_2,8,Det
pr315_2,8,Testamente
pr315_2,12,Det
pr315_2,12,Testamente
pr317_2,9,Indre
pr317_2,10,"Indre, Mission"
pr317_2,11,"Indre, Mission"
pr317_2,28,Ham
pr319_2,3,nec
pr319_2,3,nec
pr319_2,30,Testamente
pr325_2,14,Noas
pr326_2,50,"Det, Gamle"
pr328_2,7,Gamle
pr32_1,36,regiment
pr335_2,41,Jesus
pr339_2,60,Ham
pr33_1,10,brugsen
pr33_1,11,Mazda
pr33_1,57,Ham
pr345_2,60,Ham
pr348_2,16,TV
pr355_2,40,Søns
pr355_2,47,Ham
pr356_2,1,Det
pr356_2,1,Testamente
pr358_2,17,Ham
pr366_2,7,Noas
pr373_2,4,hyundai
pr373_2,21,hyundai
pr388_2,42,brugsen
pr388_2,46,"Blå, Avis"
pr389_2,37,Ham
pr390_2,44,Provsten
pr392_2,36,Ham
pr398_2,14,"Kristeligt, Dagblad"
pr39_1,22,Testamente
pr3_1,4,katolske
pr406_2,30,Israels
pr406_2,32,Testamente
pr408_2,0,Det
pr408_2,0,Testamente
pr408_2,9,"Det, Gamle, Testamente"
pr408_2,9,Det
pr408_2,9,Testamente
pr408_2,11,"Det, Gamle, Testamente"
pr408_2,51,Jesus
pr41_1,56,forladelse
pr423_2,58,Notre
pr425_2,15,Århus
pr428_2,13,"Danmarks, Radio"
pr428_2,15,DR
pr428_2,63,nec
pr428_2,63,nec
pr428_2,64,Nec
pr428_2,64,nec
pr430_2,25,Ham
pr430_2,30,Gamle
pr43_1,48,forladelse
pr43_1,69,forladelse
pr440_2,39,Christiansborg
pr445_2,18,Gamle
pr454_2,29,"Københavns, Zoo"
pr456_2,0,dr1
pr46_1,5,Welcome
pr474_2,10,Testamente
pr474_2,12,Testamente
pr474_2,25,Testamente
pr474_2,45,Testamente
pr476_2,28,"Århus, Universitet"
pr479_3,2,Testamente
pr479_3,2,Testamente
pr479_3,5,Det
pr479_3,5,"Århus, Universitet"
pr479_3,38,"Gamle, Testamente"
pr480_3,46,"Aalborg, Universitet"
pr481_3,50,Kippur
pr481_3,90,Verdens
pr482_3,11,Rigsarkivet
pr484_3,13,Bilka
pr489_1,1,Jyllandsposten
pr489_1,6,jyllandsposten
pr491_4,0,TV
pr492_4,0,weekendavisen
pr492_4,20,Medarbejderne
pr492_4,21,Medarbejderne
pr495_4,30,politigården
pr496_4,4,fritiden
pr496_4,40,fodboldklubben
pr498_4,59,TV2
pr499_4,11,DR
pr49_1,45,kortspillet
pr506_4,58,Røde
pr510_4,13,Vietnamkrigen
pr511_4,0,DR
pr512_4,31,Brøndby
pr512_4,31,FCK
pr514_4,22,Det
pr517_4,4,sneakers
pr519_4,36,børnerådet
pr520_4,1,AOF
pr520_4,23,co
pr521_4,5,sundhedsstyrelsen
pr521_4,27,TV2
pr524_4,34,hunger
pr525_4,0,"Århus, Kommunehospital"
pr525_4,42,kommunehospitalet
pr525_4,83,barnsben
pr526_4,2,CS
pr527_4,1,evangeliske
pr527_4,7,"Peder, Palladium"
pr527_4,8,lutherske
pr529_4,0,Londons
pr529_4,7,Kunstakademiet
pr529_4,10,P2
pr530_4,7,Grand
pr530_4,50,Grand
pr533_4,0,"US, -"
pr535_4,7,damerne
pr535_4,51,lutherske
pr536_4,24,DR
pr540_4 ,15,"Anthony, Robbins, Århus"
pr540_4 ,27,hof
pr541_4,7,TV2
pr544_4,0,"Fox, River"
pr544_4,2,Fox
pr544_4,8,Fox
pr544_4,10,Fox
pr547_4,7,radioavisen
pr547_4,11,P2
pr547_4,71,P2
pr550_4,3,"Danmarks, 1"
pr550_4,69,Ham
pr551_4,0,Folkekirkens
pr552_4,30,borgerservice
pr554_4,0,"Stasi, Smølfer"
pr554_4,0,Stasi
pr554_4,0,Stasi
pr554_4,4,"østtyske, efterretningstjeneste, Stasi"
pr554_4,7,Stasi
pr554_4,7,BBC
pr554_4,8,Beatles
pr554_4,8,"britiske, kongehus"
pr554_4,27,Stasi
pr558_4,37,FBI
pr558_4,38,Google
pr559_4,33,FBI
pr559_4,36,Google
pr561_4,3,Emerald
pr561_4,8,Emerald
pr564_4,4,DR
pr564_4,12,kz
pr564_4,54,JK
pr565_4,3,Dolls
pr565_4,38,Lila
pr565_4,45,Lila
pr565_4,51,Lila
pr577_4,21,Folkekirkens
pr578_4,17,GT
pr579_4,38,DR
pr580_4,5,Folkekirken
pr581_4,46,Athena
pr582_4,17,"Røde, Kors"
pr586_4,32,TV
pr589_4,29,universitets
pr592_4,45,Det
pr597_5,0,Omega
pr597_5,5,Salmernes
pr598_5,2,Septuagesima
pr598_5,4,Herrens
pr5_1,48,folketinget
pr600_5,6,Hellige
pr607_5,16,ReUnion
pr610_5,37,Fortuna
pr612_5,42,Aristoteles
pr616_5,10,Islamisk
pr617_5,29,Hellig
pr619_5,46,"Den, Danske"
pr619_5,69,Ham
pr61_1,36,tv2
pr620_5,13,danske
pr620_5,34,SK
pr622_5,0,Bibel
pr622_5,13,Politiken
pr622_5,13,"Jyllands, Posten"
pr622_5,40,JyllandsPosten
pr623_5,62,Ham
pr623_5,64,Google
pr623_5,68,Facebook
pr628_5,33,Ham
pr635_5,21,Gamle
pr639_5,1,DDS
pr639_5,8,Frem
pr639_5,19,DDS
pr640_5,2,Selskab
pr641_5,10,Jesus
pr644_5,1,Frem
pr644_5,4,Frem
pr644_5,8,VIA
pr646_5,3,Islamisk
pr646_5,3,blæsten
pr646_5,3,blæsten
pr648_5,2,djøf
pr652_5,2,DSB
pr653_5,1,DDS
pr654_5,21,Brugsen
pr657_5,42,Fakultet
pr658_5,21,Halloween
pr658_5,41,Halloween
pr65_1,26,Nephew
pr65_1,51,forladelse
pr660_5,9,Selskab
pr663_5,5,Brugsen
pr663_5,31,evangelist
pr663_5,35,etiopiske
pr663_5,35,EU
pr664_5,25,Romerne
pr673_5,25,TV
pr678_5,12,-
pr678_5,24,Facebook
pr683_5,4,Trump
pr693_5,29,Jazz
pr700_6,22,Gt
pr700_6,25,Gt
pr701_6,16,Ham
pr703_6,0,Torkildstrup
pr703_6,5,"Sorø, Akademi"
pr706_6,23,"Royal, Opera, House"
pr707_6,57,Ham
pr708_6,26,Danmarks
pr708_6,36,Danmarks
pr708_6,50,Danmarks
pr708_6,54,"Danmarks, Havn"
pr708_6,54,Hebræerne
pr713_6,22,radioavisen
pr714_6,3,ak
pr715_6,18,Højesteret
pr71_1,33,Vaya
pr722_6,3,Su
pr723_6,4,Universitetet
pr725_6,41,jødiske
pr730_6,24,Mercedes
pr732_6,44,"Sauls, hof"
pr733_6,33,Testamentes
pr735_6,32,GT
pr735_6,35,Røde
pr735_6,38,Kristi
pr735_6,39,lutherske
pr735_6,43,Røde
pr735_6,55,katolske
pr737_6,0,hvedekorn
pr737_6,34,gestapo
pr737_6,40,hvedekorn
pr738_6,38,"Århus, universitet"
pr739_6,45,Ford
pr73_1,11,medarbejderne
pr740_6,30,Ham
pr740_6,39,Talent
pr742_6,4,kz
pr744_6,15,"Tønder, Museum"
pr746_6,13,Jyllands
pr746_6,19,accord
pr749_6,32,GT
pr749_6,38,hof
pr749_6,41,Israels
pr749_6,86,Gt
pr750_6,55,Line
pr751_6,63,Line
pr752_6,0,"Askov, Højskole"
pr755_6,28,alde
pr767_6,1,GT
pr769_6,19,"World, Trads"
pr769_6,38,halloween
pr769_6,68,"Amnesty, International"
pr76_1,11,Frederiks
pr771_6,8,Var
pr775_6,21,afdøde
pr779_6,15,hvedekorn
pr781_6,46,FN
pr781_6,50,FN
pr781_6,76,kz
pr785_6,30,kantaten
pr786_6,6,amd
pr786_6,15,sos
pr787_6,11,Emmaus
pr788_6,20,Gt
pr788_6,25,PH
pr790_6,51,Gt
pr796_6,57,Ham
pr797_6,26,Danmarks
pr797_6,36,Danmarks
pr797_6,50,Danmarks
pr797_6,54,"Danmarks, Havn"
pr797_6,54,Hebræerne
pr798_6,0,fynske
pr800_6,10,lutherske
pr800_6,21,Rembrandts
pr800_6,38,Haugen
pr800_6,50,Gt
pr800_6,66,Ham
pr800_6,66,Ham
pr801_6,29,Bora
pr802_6,78,evangelist
pr803_6,3,ak
pr807_6,30,PH
pr807_6,39,PH
pr809_6,3,Dronningens
pr80_1,66,Ham
pr810_6,0,Testamente
pr810_6,13,Maya
pr810_6,14,Danmarks
pr813_6,0,P1
pr813_6,2,Andeby
pr813_6,29,SK
pr813_6,31,SK
pr813_6,34,"Fr, SK"
pr814_6,42,kz
pr814_6,44,Sorbonne
pr815_6,24,Mercedes
pr819_6,62,lutherske
pr823_6,41,Gestapo
pr823_6,47,hvedekorn
pr824_6,0,hvedekorn
pr824_6,34,gestapo
pr824_6,40,hvedekorn
pr827_6,4,kz
pr829_6,32,jødiske
pr82_1,6,eventyrernes
pr82_1,10,guddommelige
pr830_6,5,Emmaus
pr830_6,14,Københavns
pr830_6,52,Arla
pr832_6,7,"nordisk, Råds"
pr833_6,38,Bills
pr833_6,77,Ham
pr841_6,28,alde
pr842_6,17,evangeliske
pr842_6,33,Danske
pr843_6,5,frihedsrådet
pr843_6,14,SS
pr843_6,20,Getsemane
pr844_6,1,Råd
pr847_6,4,Tysklands
pr849_6,2,Folkekirken
pr857_6,0,Højskole
pr857_6,12,folketinget
pr857_6,15,romerske
pr858_6,31,kz
pr858_6,33,Sorbonne
pr861_6,21,kejserrige
pr861_6,24,Kors
pr861_6,29,Sofia
pr861_6,38,Johannes
pr862_6,7,Folkekirken
pr865_6,12,vrå
pr865_6,26,vrå
pr866_6,0,Ottestrup
pr869_6,61,kz
pr874_6,46,FN
pr874_6,50,FN
pr874_6,76,kz
pr875_6,11,Jyllands
pr875_6,17,accord
pr876_6,13,hvedekorn
pr878_6,14,Sønder
pr878_6,17,Sønder
pr879_6,53,Emmaus
pr880_6,21,Gt
pr880_6,22,Gt
pr880_6,28,PH
pr881_6,32,studietiden
pr881_6,54,Israels
pr882_6,17,Bibel
pr883_6,25,fynske
pr886_6,23,"Royal, Opera, House"
pr887_6,71,Springer
pr889_6,2,Amnesty
pr889_6,7,"Københavns, universitet"
pr889_6,54,Ham
pr892_6,45,Gt
pr892_6,58,Ham
pr892_6,58,Ham
pr893_6,28,Bora
pr899_6,40,Ham
pr899_6,53,Ham
pr901_6,20,Kristi
pr903_6,29,Børnenes
pr904_6,8,katolske
pr904_6,18,katolske
pr904_6,21,katolske
pr904_6,30,katolske
pr904_6,38,reformationstiden
pr904_6,44,evangeliske
pr905_6,0,P1
pr905_6,2,Andeby
pr905_6,29,SK
pr905_6,31,SK
pr905_6,34,"Fr, SK"
pr906_6,3,"Martin, Luthers"
pr906_6,8,reformationstiden
pr906_6,8,Besættelsen
pr907_6,3,katolske
pr907_6,3,rigsdagen
pr907_6,12,efterretningsvæsen
pr907_6,12,bilfabrikken
pr908_6,33,Mercedes
pr910_6,10,Cannes
pr914_6,66,forladelse
pr914_6,77,Ham
pr915_6,32,GT
pr915_6,35,Røde
pr915_6,38,Kristi
pr915_6,39,lutherske
pr915_6,43,Røde
pr915_6,55,katolske
pr916_6,0,"Det, sixtinske, kapel"
pr916_6,11,GT
pr916_6,35,Det
pr916_6,40,"Det, sixtinske, kapel"
pr918_6,14,"Syddansk, Universitet"
pr918_6,14,Universitets
pr920_6,9,Brorsons
pr921_6,30,Ham
pr921_6,39,Talent
pr925_7,15,Søns
pr925_7,42,Ham
pr926_7,16,Disney
pr926_7,28,Ikea
pr927_7,0,Påske
pr928_7,8,"Scandinavian, Star"
pr930_7,28,Kolind
pr930_7,52,romerske
pr931_7,3,Lotto
pr931_7,29,FDF
pr933_7,9,Kristi
pr936_7,38,Testamente
pr937_7,17,Sovjet
pr938_7,3,Matador
pr939_7,38,UD
pr939_7,48,EU
pr939_7,63,Disney
pr93_1,20,kongers
pr940_7,42,UD
pr940_7,52,EU
pr940_7,65,Disney
pr943_7,26,romerske
pr944_7,20,Folkekirkens
pr946_7,21,Folkekirkens
pr948_7,15,Nato
pr94_1,35,"tyrkiske, landshold"
pr950_7,2,LO
pr953_7,53,Islamisk
pr956_7,4,Islamisk
pr956_7,46,Brugsen
pr957_7,10,Folkekirkens
pr957_7,17,Indre
pr958_7,20,ak
pr959_7,31,Det
pr959_7,59,BMW
pr95_1,70,Ham
pr960_7,20,Det
pr960_7,51,BMW
pr963_7,7,Testamente
pr965_7,3,pines
pr965_7,6,ak
pr970_7,5,Testamente
pr970_7,26,Brugsen
pr970_7,41,Israels
pr971_7,5,Testamente
pr971_7,27,Brugsen
pr971_7,41,Israels
pr971_7,56,Folkekirkens
pr975_7,8,Gestapo
pr976_7,16,Testamente
pr978_7,1,Kolind
pr978_7,15,Den
pr978_7,51,lotto
pr980_7,1,Kolind
pr980_7,16,Den
pr980_7,54,lotto
pr981_7,2,CIA
pr981_7,46,Gestapo
pr983_7,4,Facebook
pr983_7,35,"Walt, Disney"
pr984_7,5,sik
pr985_7,3,TV3
pr986_7,44,TV
pr989_7,33,fagforeningen
pr991_7,26,fagforeningen
pr993_7,37,TV
pr993_7,37,Facebook
pr994_7,13,Davids
pr994_7,15,EU
pr994_7,25,Ham
pr995_7,0,Påske
pr996_7,0,Påske
pr2001_51,29,Ham
pr2005_51,11,Ham
pr2006_51,8,SE
pr2006_51,9,GT
pr2013_51,37,30erne
pr2013_51,41,NY
pr2014_51,79,Påske
pr2023_51,39,Manchester
pr2023_51,52,Jessens
pr2023_51,83,Sl
pr2023_51,85,forladelse
pr2024_51,63,GT
pr2025_51,3,"Trafalgar, Square"
pr2025_51,27,Mission
pr2025_51,27,UNICEF
pr2025_51,33,EU
pr2025_51,45,Folkekirkens
pr2027_51,49,SER
pr2029_51,50,Folkekirkens
pr2030_51,37,SK
pr2030_51,40,Frikorps
pr2030_51,52,Arrest
pr2036_51,10,Colosseum
pr2038_51,61,Ham
pr2038_51,79,Ns
pr2039_51,8,Påske
pr2041_51,65,.
pr2044_51,82,md
pr2045_51,3,adelige
pr2045_51,48,GT
pr2049_51,25,Tysklands
pr2049_51,25,DK
pr2051_51,68,Ef
pr2053_51,71,DDS
pr2056_51,61,"Charlton, Heston"
pr2059_51,64,.
pr2060_51,3,Shell
pr2060_51,14,politigården
pr2060_51,61,Børnerådet
pr2061_51,18,RUC
pr2064_51,48,KH
pr2064_51,52,KH
pr2066_51,28,Sl
pr2066_51,29,Sl
pr2070_51,11,Team
pr2070_51,21,"Champions, League"
pr2072_51,27,"Lissabon, ”"
pr2073_51,8,Dagblad
pr2073_51,74,SKAT
pr2079_51,17,blæsten
pr2080_51,4,romerske
pr2081_51,26,Romerne
pr2083_51,46,ak
pr2084_51,60,AL
pr2087_51,42,Brugsen
pr2088_51,0,mankind
pr2090_51,38,Sl
pr2090_51,53,DDS
pr2090_51,55,DDS
pr2095_51,43,DDS
pr2096_51,45,DDS
pr2098_51,7,toldbod
pr2099_51,58,damerne
pr2108_51,93,IM
pr2109_51,68,Ham
pr2120_51,24,Ham
pr2126_51,1,P4
pr2131_51,14,Lk
pr2135_51,47,Ham
pr2136_51,33,md
pr2137_51,15,Sl
pr2138_51,38,forladelse
pr2139_51,0,DR3
pr2139_51,16,Ap
pr2140_51,9,Ham
pr2141_51,17,Ham
pr2142_51,25,vredens
pr2142_51,38,GT
pr2142_51,101,Ham
pr2142_51,102,Ham
pr2144_51,53,Det
pr2146_51,73,Christianskirken
pr2146_51,89,Folkekirkens
pr2151_51,79,romerske
pr2152_51,74,Blæsten
pr2153_51,13,Ikea
pr2153_51,18,Ikea
pr2156_51,17,Sl
pr2156_51,21,Sl
pr2156_51,67,Ham
pr2159_51,79,hvedekorn
pr2160_51,0,U2
pr2160_51,2,U2
pr2160_51,54,brasilianeren
pr2163_51,52,Casino
pr2169_52,20,mensa
pr2173_52,15,Det
pr2173_52,15,Testamente
pr2173_52,20,Det
pr2173_52,25,"Dagbladet, Information"
pr2176_52,10,Betesda
pr2181_52,22,Testamente
pr2183_52,27,"Det, Gamle, Testamente"
pr2185_53,18,Ham
pr2185_53,29,Testamente
pr2185_53,58,Det
pr2185_53,58,Testamente
pr2186_53,42,"Det, Gamle"
pr2187_53,3,Hellige
pr2187_53,5,Ham
pr2187_53,9,Ham
pr2187_53,14,Ham
pr2187_53,49,Ham
pr2187_53,50,Ham
pr2187_53,64,Ham
pr2188_53,38,TV
pr2188_53,40,Facebook
pr2190_53,22,Ham
pr2191_53,37,Ham
pr2192_53,87,Ham
pr2193_53,36,Ham
pr2193_53,38,Ham
pr2194_53,39,Ham
pr2194_53,41,Ham
pr2195_53,8,pines
pr2195_53,38,Bolivias
pr2196_53,1,Facebook
pr2196_53,50,Ham
pr2196_53,53,Ham
pr2197_53,18,tv
pr2197_53,62,Folkekirkens
pr2197_53,75,Ham
pr2197_53,76,Ham
pr2197_53,77,Ham
pr2197_53,78,Ham
pr2198_53,54,Ham
pr2198_53,54,Ham
pr2199_53,75,Ham
pr2200_53,7,Folkekirken
pr2200_53,20,Ham
pr2200_53,39,Ham
pr2202_53,22,Ham
pr2202_53,22,Ham
pr2202_53,28,Ham
pr2202_53,34,Ham
pr2202_53,46,Ham
pr2204_53,12,Ham
pr2204_53,16,Ham
pr2204_53,16,Ham
pr2204_53,63,Ham
pr2205_53,9,Påske
pr2205_53,28,Påske
pr2205_53,51,Ham
pr2205_53,55,Ham
pr2206_53,17,Påske
pr2206_53,30,Påske
pr2206_53,52,Ham
pr2206_53,68,Ham
pr2206_53,72,Ham
pr2206_53,76,Påske
pr2208_53,36,Ham
pr2208_53,67,Ham
pr2208_53,69,Ham
pr2209_51,51,Ham
pr2209_51,78,Ham
pr2210_53,22,Coach
pr2211_53,29,Dronning
pr2211_53,30,Påske
pr2211_53,61,Ham
pr2214_53,18,Husets
pr2215_53,59,Ham
pr2216_53,29,Ham
pr2216_53,29,"Det, Gamle, Testamente"
pr2219_53,21,Ham
pr2219_53,76,forladelse
pr2220_53,21,Ham
pr2220_53,79,forladelse
pr2220_53,88,Ham
pr2221_53,27,Det
pr2221_53,27,Testamente
pr2223_53,2,Facebook
pr2223_53,55,Ham
pr2223_53,64,splinter
pr2224_53,14,Ham
pr2224_53,44,Ham
pr2225_53,62,Ham
pr2226_53,2,Det
pr2226_53,14,Testamente
pr2226_53,63,Ham
pr2227_53,12,FDF
pr2227_53,22,Ham
pr2227_53,61,Ham
pr2228_53,54,Ham
pr2229_53,20,ramasjang
pr2229_53,60,Ham
pr2230_53,37,Ham
pr2231_53,41,Human
pr2235_54,20,spejderbevægelsen
pr2235_54,20,"Dansk, Camping, Union"
pr2235_54,24,Ham
pr2239_54,66,Ham
pr2241_54,78,"Ham, ”"
pr2242_54,62,bedsteforældrene
pr2243_54,75,Ham
pr2244_54,15,Testamente
pr2245_54,1,"Fyns, Politi"
pr2245_54,5,PET
pr2245_54,17,Efterretningstjeneste
pr2245_54,90,Ham
pr2247_54,25,Ham
pr2252_54,37,Psykologisk
pr2254_54,19,CV
pr2257_54,170,Ham
pr2258_54,61,eventyrernes
pr2258_54,91,Ham
pr2261_54,21,Ham
pr2263_54,71,Ham
pr2264_54,72,Ham
pr2264_54,73,Ham
pr2265_54,0,"østrig, -, ungarske"
pr2266_54,20,Ham
pr2266_54,68,Ham
pr2267_54,49,Ham
pr2269_54,46,Ham
pr2270_54,61,Ham
pr2270_54,67,Ham
pr2270_54,90,Ham
pr2271_54,2,Politiken
pr2271_54,67,Ham
pr2271_54,74,Ham
pr2273_54,66,Ham
pr2273_54,73,Ham
pr2282_54,26,finansministeriet
pr2284_54,6,"FDM, ”, ."
pr2284_54,13,FDM
pr2285_54,28,socialdemokraterne
pr2285_54,77,Ham
pr2288_54,0,indiske
pr2288_54,58,"Det, Røde"
pr2289_54,15,Jyllandsposten
pr2289_54,85,"Hudson, Bay"
pr2289_54,86,sejlklar
pr2289_54,152,"Hudson, Bay"
pr2289_54,153,sejlklar
pr2290_54,22,Ajax
pr2290_54,61,Ham
pr2292_54,48,Testamente
pr2293_54,17,Testamente
pr2293_54,85,Gran
pr2295_54,79,Ham
pr2301_54,18,Porsche
pr2304_54,11,Testamente
pr2308_54,33,Ham
pr2309_54,7,Sovjet
pr2312_54,24,Testamente
pr2313_54,24,Testamente
pr2314_54,26,Testamente
pr2314_54,63,Ham
pr2320_54,41,Ham
pr2320_54,42,Ham
pr2324_54,53,stampede
pr2325_54,27,Ham
pr2326_54,14,"Københavns, nordvestkvarter"
